,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
611,0.5,0.9,0.8,True,17.563252046250028,-94.21312575571434
612,0.6,0.1,0.8,True,2.4831908323500365,-0.9032995618532984
613,0.6,0.2,0.8,True,2.6775871943570118,-1.2129632400940888
614,0.6,0.3,0.8,True,4.387796527799858,-4.9426467540982335
615,0.6,0.4,0.8,True,7.228296334512394,-15.127195578079078
616,0.6,0.5,0.8,True,10.84617799938878,-35.31118399533132
617,0.6,0.6,0.8,True,15.100414755426822,-69.38250294973692
618,0.6,0.7,0.8,True,19.91452129394859,-121.41276220364507
619,0.6,0.8,0.8,True,25.23177845373269,-195.50910632830352
620,0.6,0.9,0.8,True,31.002603856796167,-295.67660275303604
621,0.7,0.1,0.8,True,2.7254329270796647,-1.292756599525425
622,0.7,0.2,0.8,True,5.271071832636039,-7.576001031428868
623,0.7,0.3,0.8,True,8.914430053443207,-23.528676670150148
624,0.7,0.4,0.8,True,13.406275677905876,-54.475758205165505
625,0.7,0.5,0.8,True,18.63274491176855,-106.16195596745187
626,0.7,0.6,0.8,True,24.510417793774653,-184.43358020502947
627,0.7,0.7,0.8,True,30.96436452388323,-294.94519844812197
628,0.7,0.8,0.8,True,37.922358809351934,-442.8923304006704
629,0.7,0.9,0.8,True,45.31292553012742,-632.7692444292618
630,0.8,0.1,0.8,True,5.153611157269605,-7.198044107350357
631,0.8,0.2,0.8,True,9.24790469777863,-25.398159363933754
632,0.8,0.3,0.8,True,14.33675264057772,-62.443705366427736
633,0.8,0.4,0.8,True,20.29009385816882,-126.07352202919071
634,0.8,0.5,0.8,True,26.9975818078679,-223.97625693214346
635,0.8,0.6,0.8,True,34.352897832734435,-363.2618682877794
636,0.8,0.7,0.8,True,42.25025132362934,-549.9923238748139
637,0.8,0.8,0.8,True,50.583366130700774,-788.7732291579257
638,0.8,0.9,0.8,True,59.245127378456665,-1082.4084793860034
639,0.9,0.1,0.8,True,8.266352166603319,-20.09185426346688
640,0.9,0.2,0.8,True,13.65210171678763,-56.52888886366282
641,0.9,0.3,0.8,True,20.060680603615808,-123.21621219532854
642,0.9,0.4,0.8,True,27.341880619820657,-229.75106848988173
643,0.9,0.5,0.8,True,35.346930409770835,-384.64736198561167
644,0.9,0.6,0.8,True,43.925827617240635,-594.5618372154166
645,0.9,0.7,0.8,True,52.92689980586769,-863.6490468177554
646,0.9,0.8,0.8,True,62.19677059636905,-1193.0503123318526
647,0.9,0.9,0.8,True,71.58041543403232,-1580.5225344605465
648,0.1,0.1,0.9,True,4.98630485448403,-6.674403141738419
649,0.1,0.2,0.9,True,6.0116335117891095,-10.15506097928946
650,0.1,0.3,0.9,True,7.013748075110145,-14.184037939621339
651,0.1,0.4,0.9,True,7.987103412930973,-18.690900160958705
652,0.1,0.5,0.9,True,8.914143866723192,-23.52710176994907
653,0.1,0.6,0.9,True,9.785169100203651,-28.5545006286399
654,0.1,0.7,0.9,True,10.598957040938462,-33.67474045414194
655,0.1,0.8,0.9,True,11.35802715233607,-38.81922107657301
656,0.1,0.9,0.9,True,12.065101233392854,-43.931290838636954
657,0.2,0.1,0.9,True,6.45427864304661,-11.85826513879169
658,0.2,0.2,0.9,True,7.867945441373231,-18.107753704010804
659,0.2,0.3,0.9,True,9.097383183205025,-24.545824867275392
660,0.2,0.4,0.9,True,10.126607960847426,-30.653005225320598
661,0.2,0.5,0.9,True,10.954518411395108,-36.04021803247649
662,0.2,0.6,0.9,True,11.582937607445523,-40.41182681906508
663,0.2,0.7,0.9,True,12.014173435683404,-43.55277395826471
664,0.2,0.8,0.9,True,12.25027747833483,-45.32109390768637
665,0.2,0.9,0.9,True,12.291618947856172,-45.63426450748901
666,0.3,0.1,0.9,True,6.7207983076419,-12.94211561732166
667,0.3,0.2,0.9,True,7.863408489003316,-18.085723562987226
668,0.3,0.3,0.9,True,8.582749608965555,-21.737349665050605
669,0.3,0.4,0.9,True,8.879386531665489,-23.336206331733727
670,0.3,0.5,0.9,True,8.766393469750945,-22.720775013484708
671,0.3,0.6,0.9,True,8.268459570075256,-20.10260984510042
672,0.3,0.7,0.9,True,7.436984894688014,-16.071856594432347
673,0.3,0.8,0.9,True,6.392580206983084,-11.61360790373307
674,0.3,0.9,0.9,True,5.430227433483654,-8.101710006057678
675,0.4,0.1,0.9,True,5.921291741540364,-9.822307602220924
676,0.4,0.2,0.9,True,6.274543537419057,-11.152097053739318
677,0.4,0.3,0.9,True,5.978235077963552,-10.031458415224368
678,0.4,0.4,0.9,True,5.183866166016206,-7.294582220870593
679,0.4,0.5,0.9,True,4.35899180878807,-4.864879061143797
680,0.4,0.6,0.9,True,4.6584595617668105,-5.69840827940645
681,0.4,0.7,0.9,True,6.897896885305958,-13.686569035370074
682,0.4,0.8,0.9,True,10.573044231949467,-33.505398970520204
683,0.4,0.9,0.9,True,15.214426672862508,-70.44932628249627
684,0.5,0.1,0.9,True,4.304896109273484,-4.7202143775255685
685,0.5,0.2,0.9,True,3.779612369805213,-3.409420110750549
686,0.5,0.3,0.9,True,3.493291175898195,-2.7666609434631257
687,0.5,0.4,0.9,True,5.298970998670847,-7.667024823386933
688,0.5,0.5,0.9,True,9.183244429715828,-25.0303041898864
689,0.5,0.6,0.9,True,14.45241738946454,-63.471525496496895
690,0.5,0.7,0.9,True,20.827524943171753,-132.89435938007455
691,0.5,0.8,0.9,True,28.178989362442053,-244.09687917982225
692,0.5,0.9,0.9,True,36.420379999653235,-408.4264547047153
693,0.6,0.1,0.9,True,2.643426259619064,-1.1568570139464502
694,0.6,0.2,0.9,True,3.801911582938475,-3.4616035868108783
695,0.6,0.3,0.9,True,7.636614130843471,-17.000669109542876
696,0.6,0.4,0.9,True,13.32471293624421,-53.80279116879064
697,0.6,0.5,0.9,True,20.496795659562753,-128.6757887225182
698,0.6,0.6,0.9,True,28.984547674066288,-258.3104445566789
699,0.6,0.7,0.9,True,38.663485522369996,-460.41208130270434
700,0.6,0.8,0.9,True,49.421712504910836,-752.9152621614832
701,0.6,0.9,0.9,True,61.1518944161907,-1153.2683467333395
702,0.7,0.1,0.9,True,3.5950871613017727,-2.9893836500505153
703,0.7,0.2,0.9,True,8.2456525136914,-19.98635490430693
704,0.7,0.3,0.9,True,15.002209084275478,-68.4700134514338
705,0.7,0.4,0.9,True,23.553350902791802,-170.2349297241418
706,0.7,0.5,0.9,True,33.709112119443475,-349.7369995117344
707,0.7,0.6,0.9,True,45.29839566081638,-632.3628655520431
708,0.7,0.7,0.9,True,58.15335703539808,-1042.846251665628
709,0.7,0.8,0.9,True,72.10631833245738,-1603.8468652605814
710,0.7,0.9,0.9,True,86.98860017617855,-2334.670844633807
711,0.8,0.1,0.9,True,6.872526873693989,-13.5787352312752
712,0.8,0.2,0.9,True,14.026304185529058,-59.725830276766736
713,0.8,0.3,0.9,True,23.376786608510184,-167.67727647683236
714,0.8,0.4,0.9,True,34.6717359711513,-370.05486385548454
715,0.8,0.5,0.9,True,47.66772710339282,-700.3516836756804
716,0.8,0.6,0.9,True,62.11815723322972,-1190.0337895230414
717,0.8,0.7,0.9,True,77.77276803277881,-1865.9903270161112
718,0.8,0.8,0.9,True,94.37798139003338,-2748.3391952865077
719,0.8,0.9,0.9,True,111.67701572913619,-3848.5906898855196
720,0.9,0.1,0.9,True,10.819337004747705,-35.13168807692518
721,0.9,0.2,0.9,True,20.282865150771094,-125.98299374623628
722,0.9,0.3,0.9,True,32.10370260251565,-317.12456246889684
723,0.9,0.4,0.9,True,45.94218562958151,-650.4937589361555
724,0.9,0.5,0.9,True,61.45009216395855,-1164.553015643792
725,0.9,0.6,0.9,True,78.27092752534168,-1889.9842683478091
726,0.9,0.7,0.9,True,96.04177917227084,-2846.1303357472225
727,0.9,0.8,0.9,True,114.39437837304673,-4038.208954863999
728,0.9,0.9,0.9,True,132.95567004963416,-5455.330661368187
729,0.1,0.1,0.1,False,6.972904130536383,-14.007707045724507
730,0.1,0.2,0.1,False,9.704647589946976,-28.070097854665534
731,0.1,0.3,0.1,False,12.559802291896627,-47.69143358628019
732,0.1,0.4,0.1,False,15.507656239808504,-73.22997015740557
733,0.1,0.5,0.1,False,18.17571649504033,-100.96944020424415
734,0.1,0.6,0.1,False,20.5289772005144,-129.08331025617147
735,0.1,0.7,0.1,False,22.67644655101156,-157.7219376003178
736,0.1,0.8,0.1,False,24.628126914952514,-186.21891374002303
737,0.1,0.9,0.1,False,26.559249670992774,-216.73014324952644
